code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S2228,ALANDUR - 28,M.HARISH,Tamilaga Vettri Kazhagam,111572,633,112205,42.9,31/31,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,112205,82596,29609,26.388307116438664
S22182,ALANGUDI - 182,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,64162,767,64929,35.98,21/21,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,64929,51952,12977,19.986446734124968
S22223,ALANGULAM - 223,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,67974,1196,69170,31.32,25/25,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,69170,61372,7798,11.273673557900823
S22225,AMBASAMUDRAM - 225,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,64632,957,65589,34.3,23/23,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,65589,55344,10245,15.619997255637378
S228,AMBATTUR - 8,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,132995,344,133339,51.29,28/28,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,133339,74558,58781,44.083876435251504
S2248,AMBUR - 48,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,73543,559,74102,37.89,24/24,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,74102,66971,7131,9.623222045288927
S2244,ANAIKATTU - 44,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,75629,673,76302,35.27,23/23,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,76302,69221,7081,9.28022856543734
S22198,ANDIPATTI - 198,MAHARAJAN.A,Dravida Munnetra Kazhagam,73609,715,74324,34.2,25/25,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,74324,64770,9554,12.854528819762123
S2221,ANNA NAGAR - 21,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,70986,389,71375,43.7,20/20,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,71375,50012,21363,29.930647985989495
S22105,ANTHIYUR - 105,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,59183,859,60042,32.32,20/20,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,60042,58782,1260,2.098531028280204
S2238,ARAKKONAM - 38,V. GANDHIRAJ,Tamilaga Vettri Kazhagam,73358,418,73776,40.46,22/22,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,73776,50655,23121,31.339459986987638
S2267,ARANI - 67,JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,75881,854,76735,33.34,25/25,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,76735,71104,5631,7.338242001694143
S22183,ARANTHANGI - 183,MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,72661,583,73244,40.08,23/23,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,73244,63182,10062,13.737644039102179
S22134,ARAVAKURICHI - 134,ELANGO. R,Dravida Munnetra Kazhagam,70058,769,70827,39.11,22/22,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,70827,51445,19382,27.365270306521523
S2242,ARCOT - 42,S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,104696,912,105608,46.77,23/23,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,105608,62888,42720,40.451480948413
S22149,ARIYALUR - 149,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,94468,751,95219,40.37,25/25,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,95219,70721,24498,25.72805847572438
S22207,ARUPPUKKOTTAI - 207,RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,64124,980,65104,36.49,20/20,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,65104,60161,4943,7.592467436716638
S22129,ATHOOR - 129,I. PERIASAMY,Dravida Munnetra Kazhagam,104467,1773,106240,44.79,26/26,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,106240,83872,22368,21.05421686746988
S2282,ATTUR - 82,JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,79825,1018,80843,38.81,23/23,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,80843,65525,15318,18.9478371658647
S226,AVADI - 6,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,179472,912,180384,52.13,27/27,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,180384,104073,76311,42.3047498669505
S22112,AVANASHI - 112,KAMALI.S,Tamilaga Vettri Kazhagam,83730,479,84209,36.36,28/28,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,84209,68836,15373,18.255768385801993
S2252,BARGUR - 52,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,70298,942,71240,33.3,24/24,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,71240,66999,4241,5.953116226838855
S22104,BHAVANI - 104,KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,74402,1175,75577,36.28,22/22,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,75577,68181,7396,9.786046019291582
S22107,BHAVANISAGAR - 107,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,71879,512,72391,33.73,24/24,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,72391,67822,4569,6.311558066610489
S22157,BHUVANAGIRI - 157,ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,74628,1079,75707,36.52,26/26,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,75707,73220,2487,3.285033088089609
S22200,BODINAYAKANUR - 200,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,84228,978,85206,38.62,25/25,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,85206,78401,6805,7.98652677041523
S2232,CHENGALPATTU - 32,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,136578,558,137136,42.32,40/40,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,137136,101495,35641,25.98952864309882
S2262,CHENGAM - 62,S.VELU,All India Anna Dravida Munnetra Kazhagam,86953,849,87802,36.15,25/25,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,87802,74524,13278,15.12266235393271
