video_id,comment_id,parent_comment_id,author,comment_text,likes,comment_published_at,updated_at,reply_count,comment_type,title,channel_title,video_published_at,query,clean_text,tokens,neg,neu,pos,compound,sentiment_label,party
LHrgHR-Q1BE,Ugwl6jUbUTFez7nlrrx4AaABAg.AX3rBFaT9XRAX4FDkWWCyY,Ugwl6jUbUTFez7nlrrx4AaABAg,@guruvayoorkrishna7263,oooosep;h  anthe   dharmathai  seithal   avanudaya  atchiyai  sammathippen      illayendral   desiyam  aneegam  ulla  BJP thondan than   tamilagathirkku  BJP than mukkiya  theivai   thravidiya  sarntha  enda katchikkum  nan  atharavu illai    nichayam  BJP  inimel thanithu nirukkum  endra  100 percent  nambikkayudan   bharatheeyan,0,2026-05-21T15:13:06Z,2026-05-21T15:13:06Z,0,reply,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,oosep anthe dharmathai seithal avanudaya atchiyai sammathippen illayendral desiyam aneegam ulla BJP thondan tamilagathirkku BJP mukkiya theivai thravidiya sarntha enda katchikkum nan atharavu illai nichayam BJP inimel thanithu nirukkum endra percent nambikkayudan bharatheeyan,"['oosep', 'anthe', 'dharmathai', 'seithal', 'avanudaya', 'atchiyai', 'sammathippen', 'illayendral', 'desiyam', 'aneegam', 'ulla', 'BJP', 'thondan', 'tamilagathirkku', 'BJP', 'mukkiya', 'theivai', 'thravidiya', 'sarntha', 'enda', 'katchikkum', 'nan', 'atharavu', 'illai', 'nichayam', 'BJP', 'inimel', 'thanithu', 'nirukkum', 'endra', 'percent', 'nambikkayudan', 'bharatheeyan']",0.0,1.0,0.0,0.0,Neutral,BJP
LHrgHR-Q1BE,UgyabWdiKJbxYbyhUVV4AaABAg,,@karikalank7571,சூப்பர் DMK ஆட்சியில் ஒரு rowdy கம்முனாட்டி  அமைச்சர் இப்போ ஒரு youngster அமைச்சர் சூப்பர் 👌👌👌👌,6,2026-05-21T12:24:13Z,2026-05-21T12:24:13Z,0,top_level,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,DMK rowdy youngster,"['DMK', 'rowdy', 'youngster']",0.0,1.0,0.0,0.0,Neutral,DMK
LHrgHR-Q1BE,UgzvdVL1tCn2-W76ls54AaABAg.AX3omB4eHuBAX41nK1yJdE,UgzvdVL1tCn2-W76ls54AaABAg,@chellappamuthuganabadi9446,"VCK cpi,CPM கொடுத்த அழுத்ததில்.",1,2026-05-21T13:15:45Z,2026-05-21T13:15:45Z,0,reply,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,VCK CPI CPM,"['VCK', 'CPI', 'CPM']",0.0,1.0,0.0,0.0,Neutral,CPM
LHrgHR-Q1BE,UgzvdVL1tCn2-W76ls54AaABAg.AX3omB4eHuBAX41nK1yJdE,UgzvdVL1tCn2-W76ls54AaABAg,@chellappamuthuganabadi9446,"VCK cpi,CPM கொடுத்த அழுத்ததில்.",1,2026-05-21T13:15:45Z,2026-05-21T13:15:45Z,0,reply,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,VCK CPI CPM,"['VCK', 'CPI', 'CPM']",0.0,1.0,0.0,0.0,Neutral,VCK
LHrgHR-Q1BE,UgzvdVL1tCn2-W76ls54AaABAg.AX3omB4eHuBAX41nK1yJdE,UgzvdVL1tCn2-W76ls54AaABAg,@chellappamuthuganabadi9446,"VCK cpi,CPM கொடுத்த அழுத்ததில்.",1,2026-05-21T13:15:45Z,2026-05-21T13:15:45Z,0,reply,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,VCK CPI CPM,"['VCK', 'CPI', 'CPM']",0.0,1.0,0.0,0.0,Neutral,CPI
LHrgHR-Q1BE,Ugy6hdYp1pF9nAoI6vV4AaABAg,,@SUN05,"தி.மு.க மற்றும் அ.தி.மு.க ஆகிய கட்சிகளால் நீண்ட காலமாகப் புறக்கணிக்கப்பட்ட நிலையில், தமிழர்களாகிய நாங்கள் தற்போது மகிழ்ச்சி அடைகிறோம். உலகம் முழுவதும் வாழும் எங்கள் மக்கள் அனைவரும் TVK-விற்கு முழு ஆதரவை அளிப்பார்கள்; இனிவரும் காலங்களில் TVK-விற்காக எங்களால் இயன்ற அனைத்து நன்மைகளையும் நாங்கள் செய்வோம். விஜய் எங்கள் ஒரே தலைவர்.",3,2026-05-21T13:11:23Z,2026-05-21T13:11:23Z,0,top_level,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,TVK TVK,"['TVK', 'TVK']",0.0,1.0,0.0,0.0,Neutral,TVK
LHrgHR-Q1BE,UgycriR69GObrTN8Ku94AaABAg,,@PACKIALAKSHMISHANMUGANANTHAM,Tvk❤❤ welcome 🎉🎉🎉,3,2026-05-21T11:05:28Z,2026-05-21T11:05:28Z,0,top_level,தவெக அரசில் அமைச்சர்களான 2 பிராமணர்கள் | Brahmin Candidate | Tamil Nadu Elections 2026,Dinamalar,2026-05-21T10:15:53Z,Tamil Nadu Election 2026,TVK welcome,"['TVK', 'welcome']",0.0,0.25,0.75,0.4588,Positive,TVK
NQNWvfE5DlU,UgyasSqzZh_-tImJAJF4AaABAg,,@sivalingamsiva2182,"பதவி சுகர்திற்காக TVK எந்தளவிற்கும் இழிவான அரசியல் செய்யும் என்பதற்கு இதுவே சான்று..,,",8,2026-05-21T07:17:53Z,2026-05-21T07:17:53Z,1,top_level,காங்கிரஸ் எம்.எல்.ஏ.க்கள் இருவருக்கு அமைச்சர் பதவி | Minister Seat | TN Govt | Congress MLA,NewsTamil 24X7,2026-05-21T03:05:05Z,Tamil Nadu Election 2026,TVK,['TVK'],0.0,1.0,0.0,0.0,Neutral,TVK
cO8LciepB3M,UgzpSCDYo65j2BDNmUx4AaABAg,,@Lifeatlowestbutstillpositive,Tamilnadu governer was compromised due to BJP....🤣🤣,4,2026-05-08T16:59:09Z,2026-05-08T16:59:09Z,0,top_level,"Prakash Raj Backs Vijay, Questions Governor’s Conduct | Tamil Nadu Elections 2026 | TVK Vs DMK",CNBC-TV18,2026-05-08T11:00:16Z,Tamil Nadu Election 2026,tamilnadu governer compromised due BJP,"['tamilnadu', 'governer', 'compromised', 'due', 'BJP']",0.0,1.0,0.0,0.0,Neutral,BJP
cO8LciepB3M,UgwZSBiL_QA1kUXkq3p4AaABAg,,@rs-qu5gr,"Prakash Raj is anti bjp man
 But what he said is correct",13,2026-05-08T12:06:24Z,2026-05-08T12:06:24Z,0,top_level,"Prakash Raj Backs Vijay, Questions Governor’s Conduct | Tamil Nadu Elections 2026 | TVK Vs DMK",CNBC-TV18,2026-05-08T11:00:16Z,Tamil Nadu Election 2026,prakash raj anti BJP man said correct,"['prakash', 'raj', 'anti', 'BJP', 'man', 'said', 'correct']",0.277,0.723,0.0,-0.3182,Negative,BJP
